EC_protein,EC_accession,SE_protein,SE_accession
diguanylate cyclase DgcC,b0385,diguanylate cyclase,STM0385
diguanylate cyclase DgcJ,b1786,diguanylate cyclase,STM0385
diguanylate cyclase DgcN,b2604,diguanylate cyclase,STM0385
diguanylate cyclase DgcQ,b1956,diguanylate cyclase,STM0385
dihydrofolate reductase,b0048,dihydrofolate reductase,STM0087
dihydroneopterin aldolase,b3058,dihydroneopterin aldolase,STM3206
dihydroneopterin triphosphate diphosphatase,b1865,dihydroneopterin triphosphate diphosphatase,STM1900
dihydroorotase,b1062,dihydroorotase,STM1163
"dihydroorotate dehydrogenase, type 2",b0945,dihydroorotate dehydrogenase (quinone),STM1058
dihydropteroate synthase,b3177,dihydropteroate synthase,STM3295
dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreA,b2147,NAD-dependent dihydropyrimidine dehydrogenase subunit B,STM2187
dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreT,b2146,NAD-dependent dihydropyrimidine dehydrogenase subunit A,STM2186
dihydroxy-acid dehydratase,b3771,dihydroxy-acid dehydratase,STM3531
dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,b2674,ribonucleotide reductase assembly protein,STM2806
dimethyl sulfoxide reductase subunit A,b0894,dimethylsulfoxide reductase subunit A,STM0964
dimethyl sulfoxide reductase subunit B,b0895,"dimethylsulfoxide reductase, chain B",STM1497
dimethyl sulfoxide reductase subunit C,b0896,dimethylsulfoxide reductase subunit C,STM0966
dipeptide ABC transporter ATP binding subunit DppD,b3541,dipeptide ABC transporter ATP-binding protein,STM3626
dipeptide ABC transporter ATP binding subunit DppF,b3540,,
dipeptide ABC transporter membrane subunit DppB,b3543,dipeptide ABC transporter permease,STM3628
dipeptide ABC transporter membrane subunit DppC,b3542,dipeptide ABC transporter permease,STM3628
dipeptide ABC transporter periplasmic binding protein,b3544,dipeptide transport protein,STM3630
dipeptide exporter,b1534,transporter,STM1737
dipeptide/tripeptide:H<sup>+</sup> symporter DtpA,b1634,dipeptide/tripeptide permease A,STM1452
dipeptide/tripeptide:H<sup>+</sup> symporter DtpB,b3496,dipeptide/tripeptide permease,STM3592
dipeptide/tripeptide:H<sup>+</sup> symporter DtpC,b4130,MFS transporter,STM2574
dipeptide:H<sup>+</sup> symporter DtpD,b0709,Dipeptide permease D,STM0710
disulfide bond oxidoreductase YfcG,b2302,thiol:disulfide oxidoreductase,STM2349
disulfide reductase / organic hydroperoxide reductase,b2989,glutathione-dependent disulfide-bond oxidoreductase,STM3140
dITP/XTP pyrophosphatase,b2954,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,STM3103
divalent metal ion transporter ZupT,b3040,zinc transporter,STM3190
divergent polysaccharide deacetylase domain-containing protein YibQ,b3614,,
division and outer membrane stress-associated lipid-binding lipoprotein,b3150,osmotically-inducible protein,STM3267
DLP12 prophage; DNA-binding transcriptional activator AppY,b0564,,
DLP12 prophage; IS3 element protein InsF,b0541,,
DLP12 prophage; lysozyme,b0555,,
DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE,b0543,,
DLP12 prophage; omptin family outer membrane protease OmpT,b0565,,
DLP12 prophage; periplasmic protein YbcL,b0545,,
DLP12 prophage; prophage antitermination protein Q homolog QuuD,b0551,,
DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,,
DLP12 prophage; putative integrase,b0537,,
DLP12 prophage; putative prophage endopeptidase RzpD,b0556,,
DLP12 prophage; uncharacterized protein YlcG,b4509,,
DNA adenine methyltransferase,b3387,DNA adenine methylase,STM3484
DNA adenine methyltransferase,b3262,adenine-specific DNA-methyltransferase,STM3386
DNA base-flipping protein,b0454,putative methyltransferase,STM0466
DNA binding and peroxide stress response protein YaaA,b0006,peroxide stress protein,STM0005
DNA damage response nuclease YhbQ,b3155,putative cytoplasmic protein,STM0383
DNA damage-inducible protein F,b4044,DNA-damage-inducible protein F,STM4238
DNA damage-inducible protein I,b1061,DNA damage-inducible protein I,STM1162
DNA damage-inducible protein YebG,b1848,damage-inducible protein,STM1882
DNA endonuclease SmrA,b1340,DNA endonuclease,STM1658
DNA gyrase inhibitor,b2009,DNA gyrase inhibitor,STM0138
DNA gyrase inhibitor YacG,b0101,DNA gyrase inhibitor,STM0138
DNA gyrase subunit A,b2231,DNA gyrase subunit A,STM2272
DNA gyrase subunit B,b3699,aminoglycoside/multidrug transporter permease,STM0475
DNA helicase II,b3813,DNA helicase II,STM3951
DNA helicase IV,b0962,DNA helicase IV,STM1075
DNA ligase,b2411,DNA ligase (NAD(+)),STM2427
DNA ligase B,b3647,DNA ligase B,STM3739
DNA mismatch endonuclease Vsr,b1960,very short patch repair endonuclease,STM1991
DNA mismatch repair protein MutH,b2831,DNA mismatch repair endonuclease,STM3005
DNA mismatch repair protein MutL,b4170,DNA mismatch repair protein,STM2909
DNA mismatch repair protein MutS,b2733,DNA mismatch repair protein,STM2909
DNA oxidative demethylase,b2212,alpha-ketoglutarate-dependent dioxygenase,STM2264
DNA polymerase I,b3863,DNA polymerase I,STM3999
DNA polymerase II,b0060,DNA polymerase II,STM0097
DNA polymerase III subunit &alpha;,b0184,DNA polymerase III subunit alpha,STM0231
DNA polymerase III subunit &chi;,b4259,"DNA polymerase III, chi subunit",STM4476
DNA polymerase III subunit &delta;,b0640,DNA polymerase III subunit delta,STM0646
DNA polymerase III subunit &delta;',b1099,DNA polymerase III subunit delta',STM1201
DNA polymerase III subunit &epsilon;,b0215,"DNA polymerase III, epsilon subunit",STM0264
DNA polymerase III subunit &gamma;,b0470,DNA polymerase III subunit gamma/tau,STM0484
DNA polymerase III subunit &psi;,b4372,DNA polymerase III subunit psi,STM4557
DNA polymerase III subunit &tau;,b0470,DNA polymerase III subunit gamma/tau,STM0484
DNA polymerase III subunit &theta;,b1842,DNA polymerase III subunit theta,STM1876
DNA polymerase IV,b0231,DNA polymerase IV,STM0313
DNA polymerase V catalytic protein,b1184,DNA polymerase V subunit,STM1997
DNA polymerase V protein UmuD,b1183,DNA polymerase V subunit,STM1997
DNA primase,b3066,DNA primase,STM3210
DNA protection during starvation protein,b0812,DNA starvation/stationary phase protection protein,STM0831
DNA recombination protein,b4389,DNA repair protein,STM4496
DNA recombination/repair protein RecA,b2699,recombinase,STM2829
DNA repair protein RecN,b2616,DNA repair protein,STM4496
DNA replication inhibitor CspD,b0880,cold shock domain protein,STM0943
DNA replication protein DnaC,b4361,DNA replication protein,STM4543
DNA replication terminus site-binding protein,b1610,DNA replication terminus site-binding protein,STM1470
DNA topoisomerase I,b1274,DNA topoisomerase I,STM1714
DNA topoisomerase III,b1763,DNA topoisomerase III,STM1298
DNA topoisomerase IV subunit A,b3019,"DNA topoisomerase IV, subunit A",STM3174
DNA topoisomerase IV subunit B,b3030,DNA topoisomerase IV subunit B,STM3181
DNA utilization protein HofM,b3395,DNA utilization protein,STM3510
DNA utilization protein HofN,b3394,pilus assembly protein,STM3491
DNA utilization protein HofO,b3393,putative inner membrane protein,STM1849
DNA utilization protein HofP,b3392,DNA utilization protein,STM3510
DNA utilization protein HofQ,b3391,DNA transporter,STM3488
DNA utilization protein YhgH,b3413,DNA utilization protein,STM3510
DNA-3-methyladenine glycosylase 2,b2068,DNA-3-methyladenine glycosylase 2,STM2124
DNA-binding protein HU-&alpha;,b4000,DNA-binding protein,STM4170
DNA-binding protein HU-&beta;,b0440,prepilin peptidase,STM3442
DNA-binding transcriptional activator AaeR,b3243,transcriptional regulator,STM2982
DNA-binding transcriptional activator AdiY,b4116,AraC family transcriptional regulator,STM4265
DNA-binding transcriptional activator AllS,b0504,HTH-type transcriptional activator,STM0514
DNA-binding transcriptional activator BaeR,b2079,two-component system response regulator,STM1475
DNA-binding transcriptional activator CadC,b4133,transcriptional regulator,STM2982
DNA-binding transcriptional activator CaiF,b0034,CaiF/GrlA family transcriptional regulator,STM0068
DNA-binding transcriptional activator CdaR,b0162,carbohydrate diacid regulon transcriptional regulator,STM0210
DNA-binding transcriptional activator Dan,b3060,,
DNA-binding transcriptional activator DcuR,b4124,two-component system response regulator,STM1475
DNA-binding transcriptional activator DecR,b0447,transcriptional regulator,STM2982
DNA-binding transcriptional activator FhlA,b2731,transcriptional regulator,STM2982
DNA-binding transcriptional activator FucR,b2805,transcriptional regulator,STM2982
DNA-binding transcriptional activator GlrR,b2554,two-component system response regulator,STM1475
DNA-binding transcriptional activator GutM,b2706,transcriptional regulator,STM2982
DNA-binding transcriptional activator KdpE,b0694,,
DNA-binding transcriptional activator MalT,b3418,transcriptional regulator,STM2982
DNA-binding transcriptional activator MlrA,b2127,transcriptional regulator,STM2982
DNA-binding transcriptional activator NhaR,b0020,transcriptional activator of nhaA,STM0040
DNA-binding transcriptional activator PunR,b1659,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional activator QseB,b3025,two-component system response regulator,STM1475
DNA-binding transcriptional activator RclR,b0305,,
DNA-binding transcriptional activator RcsA,b1951,helix-turn-helix transcriptional regulator,STM0552
DNA-binding transcriptional activator RcsB,b2217,DNA-binding response regulator,STM1391
DNA-binding transcriptional activator RhaR,b3906,AraC family transcriptional regulator,STM4265
DNA-binding transcriptional activator RhaS,b3905,transcriptional activator,STM3977
DNA-binding transcriptional activator RtcR,b3422,transcriptional regulator,STM2982
DNA-binding transcriptional activator TdcA,b3118,transcriptional regulator,STM2982
DNA-binding transcriptional activator UhpA,b3669,DNA-binding response regulator,STM1391
DNA-binding transcriptional activator UvrY,b1914,two-component system response regulator,STM1475
DNA-binding transcriptional activator XapR,b2405,LysR family transcriptional regulator,STM2420
DNA-binding transcriptional activator YgfI,b2921,,
DNA-binding transcriptional activator YhaJ,b3105,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional activator YqhC,b3010,AraC family transcriptional regulator,STM4265
DNA-binding transcriptional activator ZntR,b3292,zinc-responsive transcriptional regulator,STM3412
DNA-binding transcriptional activator ZraR,b4004,two-component system response regulator,STM1475
DNA-binding transcriptional dual regulator / DNA repair protein Ada,b2213,bifunctional transcriptional regulator/O6-methylguanine-DNA methyltransferase,STM2265
DNA-binding transcriptional dual regulator ArcA,b4401,OmpR family response regulator,STM4598
DNA-binding transcriptional dual regulator ArgP,b2916,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator ArgR,b3237,arginine repressor,STM3360
DNA-binding transcriptional dual regulator AsnC,b3743,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator BasR,b4113,two-component system response regulator,STM1475
DNA-binding transcriptional dual regulator BolA,b0435,BolA family transcriptional regulator,STM0446
DNA-binding transcriptional dual regulator BtsR,b2125,two-component system response regulator,STM1475
DNA-binding transcriptional dual regulator CecR,b0796,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator CpxR,b3912,DNA-binding response regulator,STM1391
DNA-binding transcriptional dual regulator Cra,b0080,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional dual regulator CRP,b3357,cAMP-activated global transcriptional regulator CRP,STM3466
DNA-binding transcriptional dual regulator CsgD,b1040,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator CsqR,b3884,DeoR family transcriptional regulator,STM4025
DNA-binding transcriptional dual regulator CueR,b0487,Cu(I)-responsive transcriptional regulator,STM0354
DNA-binding transcriptional dual regulator CysB,b1275,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator DpiA,b0620,response regulator,STM0626
DNA-binding transcriptional dual regulator DsdC,b2364,LysR family transcriptional activator,STM3800
DNA-binding transcriptional dual regulator FadR,b1187,fatty acid metabolism regulator,STM1805
DNA-binding transcriptional dual regulator Fis,b3261,Fis family transcriptional regulator,STM4534
DNA-binding transcriptional dual regulator FlhC,b1891,regulator of flagellar biosynthesis,STM1925
DNA-binding transcriptional dual regulator FlhD,b1892,regulator of flagellar biosynthesis,STM1925
DNA-binding transcriptional dual regulator FNR,b1334,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator Fur,b0683,ferric iron uptake transcriptional regulator,STM0693
DNA-binding transcriptional dual regulator GadX,b3516,,
DNA-binding transcriptional dual regulator GalR,b2837,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator GalS,b2151,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional dual regulator GcvA,b2808,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator H-NS,b1237,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator HdfR,b4480,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional dual regulator HprR,b1969,,
DNA-binding transcriptional dual regulator HypT,b4327,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional dual regulator IdnR,b4264,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator IlvY,b3773,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator IscR,b2531,Fe-S cluster assembly transcriptional regulator,STM2544
DNA-binding transcriptional dual regulator LeuO,b0076,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator LldR,b3604,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator LrhA,b2289,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator Lrp,b0889,leucine-responsive transcriptional regulator,STM0959
DNA-binding transcriptional dual regulator LysR,b2839,LysR family transcriptional regulator,STM2420
DNA-binding transcriptional dual regulator MarA,b1531,AraC/XylS family transcriptional activator of defense systems,STM1519
DNA-binding transcriptional dual regulator McbR,b1450,colanic acid/biofilm transcriptional regulator,STM1588
DNA-binding transcriptional dual regulator MelR,b4118,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator MetR,b3828,LysR family transcriptional regulator,STM2420
DNA-binding transcriptional dual regulator MntR,b0817,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator ModE,b0761,molybdenum-dependent transcriptional regulator,STM0779
DNA-binding transcriptional dual regulator Nac,b1988,,
DNA-binding transcriptional dual regulator NagC,b0676,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator NarL,b1221,two-component system response regulator,STM1475
DNA-binding transcriptional dual regulator NarP,b2193,DNA-binding response regulator,STM1391
DNA-binding transcriptional dual regulator NorR,b2709,nitric oxide reductase transcription regulator,STM2839
DNA-binding transcriptional dual regulator NtrC,b3868,nitrogen regulation protein NR(I),STM4005
DNA-binding transcriptional dual regulator OmpR,b3405,two-component system response regulator,STM1475
DNA-binding transcriptional dual regulator OxyR,b3961,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional dual regulator PdhR,b0113,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator PhoB,b0399,phosphate regulon transcriptional regulatory protein,STM0397
DNA-binding transcriptional dual regulator PhoP,b1130,response regulator in two-component regulatory system with,STM1231
DNA-binding transcriptional dual regulator PrpR,b0330,propionate catabolism operon regulatory protein,STM0367
DNA-binding transcriptional dual regulator PspF,b1303,phage shock protein operon transcriptional activator,STM1691
DNA-binding transcriptional dual regulator RbsR,b3753,transcriptional repressor for rbs operon (GalR/LacI family),STM3886
DNA-binding transcriptional dual regulator Rob,b4396,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator RutR,b1013,pyrimidine utilization regulatory protein R,STM1122
DNA-binding transcriptional dual regulator SdiA,b1916,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator SgrR,b0069,transcriptional regulator,STM2982
DNA-binding transcriptional dual regulator SlyA,b1642,MarR family transcriptional regulator for hemolysin,STM1444
DNA-binding transcriptional dual regulator SoxR,b4063,stress protection protein,STM1521
DNA-binding transcriptional dual regulator SoxS,b4062,AraC family transcriptional regulator,STM4265
DNA-binding transcriptional dual regulator SutR,b1434,XRE family transcriptional regulator,STM1664
DNA-binding transcriptional dual regulator TorR,b0995,two-component system response regulator,STM1475
DNA-binding transcriptional dual regulator TyrR,b1323,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional dual regulator XylR,b3569,XylR family transcriptional regulator,STM3662
DNA-binding transcriptional dual regulator YciT,b1284,DeoR family transcriptional regulator,STM4025
DNA-binding transcriptional dual regulator YdcI,b1422,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional dual regulator YeiE,b2157,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional dual regulator YfeC,b2398,putative negative regulator,STM2413
DNA-binding transcriptional dual regulator YidZ,b3711,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional dual regulator YieP,b3755,GntR family transcriptional regulator,STM1510
DNA-binding transcriptional regulator BglJ,b4366,transcriptional regulator (activator) of bgl operon,STM4548
DNA-binding transcriptional regulator CreB,b4398,two-component system response regulator,STM1475
DNA-binding transcriptional regulator DgoR,b4479,galactonate operon transcriptional repressor,STM3830
DNA-binding transcriptional regulator DicD,b4135,MerR family transcriptional regulator,STM4322
DNA-binding transcriptional regulator FliZ,b1921,flagellar regulatory protein,STM1955
DNA-binding transcriptional regulator FrlR,b3375,,
DNA-binding transcriptional regulator MprA,b2684,transcriptional repressor,STM1430
DNA-binding transcriptional regulator NsrR,b4178,transcriptional repressor,STM1430
DNA-binding transcriptional regulator RstA,b1608,two-component system response regulator,STM1475
DNA-binding transcriptional regulator YafC,b0208,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional regulator YdiP,b1696,AraC family transcriptional regulator,STM4265
DNA-binding transcriptional regulator YheO,b3346,putative regulator,STM1323
DNA-binding transcriptional repressor AcrR,b0464,DNA-binding transcriptional repressor,STM0864
DNA-binding transcriptional repressor AllR,b0506,transcriptional regulator,STM2982
DNA-binding transcriptional repressor AscG,b2714,,
DNA-binding transcriptional repressor CitR,b0603,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional repressor ComR,b1111,TetR family transcriptional regulator,STM1575
DNA-binding transcriptional repressor CytR,b3934,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional repressor DeoR,b0840,DNA-binding transcriptional repressor,STM0864
DNA-binding transcriptional repressor EnvR,b3264,acrEF/envCD operon transcriptional regulator,STM3389
DNA-binding transcriptional repressor FabR,b3963,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional repressor FrmR,b0357,,
DNA-binding transcriptional repressor GlaR,b2664,transcriptional regulator,STM2982
DNA-binding transcriptional repressor GntR,b3438,transcriptional regulator,STM2982
DNA-binding transcriptional repressor IclR,b4018,transcriptional regulator,STM2982
DNA-binding transcriptional repressor KdgR,b1827,DNA-binding transcriptional regulator,STM1842
DNA-binding transcriptional repressor LexA,b4043,bifunctional murein DD-endopeptidase/murein LD-carboxypeptidase,STM2214
DNA-binding transcriptional repressor LsrR,b1512,putative transcriptional repressor,STM4073
DNA-binding transcriptional repressor MarR,b1530,transcriptional regulator,STM2982
DNA-binding transcriptional repressor MetJ,b3938,transcriptional repressor,STM1430
DNA-binding transcriptional repressor Mlc,b1594,transcriptional regulator,STM2982
DNA-binding transcriptional repressor MngR,b0730,,
DNA-binding transcriptional repressor MraZ,b0081,cell division/cell wall cluster transcriptional repressor,STM0119
DNA-binding transcriptional repressor NemR,b1649,TetR family transcriptional regulator,STM1575
DNA-binding transcriptional repressor NfeR,b3071,putative transcriptional regulator,STM3696
DNA-binding transcriptional repressor NikR,b3481,nickel-responsive transcriptional regulator,STM3584
DNA-binding transcriptional repressor NimR,b1790,AraC family transcriptional regulator,STM4265
DNA-binding transcriptional repressor PlaR,b3574,IclR family transcriptional repressor,STM3667
DNA-binding transcriptional repressor PtrR,b1526,putative LysR family transcriptional regulator,STM2424
DNA-binding transcriptional repressor PurR,b1658,transcriptional repressor,STM1430
DNA-binding transcriptional repressor RcnR,b2105,Transcriptional repressor,STM3023
DNA-binding transcriptional repressor RspR,b1540,GntR family transcriptional regulator,STM1510
DNA-binding transcriptional repressor SrlR,b2707,glucitol operon transcriptional repressor,STM2837
DNA-binding transcriptional repressor StpA with RNA chaperone activity,b2669,DNA-binding protein,STM4170
DNA-binding transcriptional repressor TreR,b4241,trehalose operon repressor,STM4455
DNA-binding transcriptional repressor TrpR,b4393,Trp operon repressor,STM4583
DNA-binding transcriptional repressor UlaR,b4191,transcriptional repressor,STM1430
DNA-binding transcriptional repressor UxuR,b4324,GntR family transcriptional regulator,STM1510
DNA-binding transcriptional repressor YebK,b1853,transcriptional regulator,STM2982
DNA-binding transcriptional repressor YgbI,b2735,DeoR family transcriptional regulator,STM4025
DNA-binding transcriptional repressor YgiV,b3023,,
DNA-binding transcriptional repressor YjjQ,b4365,putative LuxR/UhpA family transcriptional regulator,STM4547
DNA-binding transcriptional repressor Zur,b4046,ZnuABC operon transcriptional repressor,STM4241
DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,b3973,biotin--[acetyl-CoA-carboxylase] synthetase,STM4138
DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,b4390,trifunctional nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase/transcriptional regulator,STM4580
DNA-cytosine methyltransferase,b1961,DNA (cytosine-5-)-methyltransferase,STM1992
DNA-formamidopyrimidine glycosylase,b3635,DNA-formamidopyrimidine glycosylase,STM3726
DNA-specific endonuclease I,b2945,deoxyribonuclease I,STM3093
DnaA initiator-associating protein DiaA,b3149,putative phosphoheptose isomerase,STM3266
DoxX family protein,b3101,putative membrane-associated protein,STM3232
DsrE/F sulfur relay family protein YchN,b1219,putative ACR protein,STM1769
dTDP-4-dehydro-6-deoxy-D-glucose transaminase,b3791,"dTDP-4-amino-4,6-dideoxygalactose transaminase",STM3925
"dTDP-4-dehydrorhamnose 3,5-epimerase",b2038,dTDP-4-dehydrorhamnose reductase,STM2096
dTDP-4-dehydrorhamnose reductase,b2040,dTDP-4-dehydrorhamnose reductase,STM2096
"dTDP-glucose 4,6-dehydratase 1",b2041,"dTDP-glucose 4,6-dehydratase",STM3922
"dTDP-glucose 4,6-dehydratase 2",b3788,"dTDP-glucose 4,6-dehydratase",STM3922
DUF1016 domain-containing protein YhcG,b3220,putative cytoplasmic protein,STM0383
DUF1040 domain-containing protein YihD,b3858,putative cytoplasmic protein,STM0383
DUF1090 domain-containing protein YqjC,b3097,putative periplasmic protein,STM1897
DUF1116 domain-containing protein YlbE,b4572,putative cytoplasmic protein,STM0383
DUF1120 domain-containing protein YhcF,b3219,,
DUF1127 domain-containing protein YjiS,b4341,DUF1127 domain-containing protein,STM4521
DUF1131 domain-containing lipoprotein YfeY,b2432,,
DUF1145 domain-containing protein YhhL,b3466,putative inner membrane protein,STM1849
DUF1158 domain-containing protein YbdJ,b0580,putative inner membrane protein,STM1849
DUF1161 domain-containing protein YnfD,b1586,putative outer membrane protein,PSLT015
DUF1176 domain-containing protein YpfG,b2466,putative periplasmic protein,STM1897
DUF1190 domain-containing protein YgiB,b3037,hypothetical protein,STM0387
DUF1190 domain-containing protein YjfM,b4185,putative inner membrane protein,STM1849
DUF1198 domain-containing protein YicN,b3663,putative inner membrane protein,STM1849
DUF1202 domain-containing protein YggM,b2956,putative periplasmic protein,STM1897
DUF1249 domain-containing protein YqiB,b3033,putative cytoplasmic protein,STM0383
DUF1266 domain-containing protein YbeR,b0645,putative cytoplasmic protein,STM0383
DUF1266 domain-containing protein YbeU,b0648,putative cytoplasmic protein,STM0383
DUF1283 domain-containing protein YnfB,b1583,hypothetical protein,STM0387
DUF1287 domain-containing protein YijF,b3944,DUF1287 domain-containing protein,STM4107
DUF1289 domain-containing protein YdhL,b1648,DUF1289 domain-containing protein,STM1438
DUF1307 domain-containing lipoprotein YehR,b2123,putative lipoprotein,STM2983
DUF1315 domain-containing protein YeaC,b1777,putative cytoplasmic protein,STM0383
DUF1318 domain-containing protein YdbL,b1383,putative periplasmic protein,STM1897
DUF1328 domain-containing protein YtjA,b4568,,
DUF1338 domain-containing protein YdcJ,b1423,,
DUF1375 domain-containing lipoprotein YceK,b1050,putative outer membrane lipoprotein,STM4223
DUF1375 domain-containing putative lipoprotein YidQ,b3688,putative outer membrane lipoprotein,STM4223
DUF1398 domain-containing protein YcgX,b1161,,
DUF1414 domain-containing protein YejL,b2187,hypothetical protein,STM0387
DUF1418 domain-containing protein YbjC,b0850,putative inner membrane protein,STM1849
DUF1422 domain-containing inner membrane protein YijD,b3964,putative inner membrane protein,STM1849
DUF1425 domain-containing protein YcfL,b1104,putative outer membrane lipoprotein,STM4223
DUF1435 domain-containing protein YjjZ,b4567,,
DUF1449 domain-containing inner membrane protein YqiJ,b3050,,
DUF1451 domain-containing protein YbeL,b0643,putative cytoplasmic protein,STM0383
DUF1454 domain-containing protein YiiQ,b3920,putative periplasmic protein,STM1897
DUF1456 domain-containing protein YehS,b2124,putative cytoplasmic protein,STM0383
DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,b1112,multiple stress resistance protein,STM1214
DUF1471 domain-containing protein RclB,b0303,,
DUF1471 domain-containing protein YahO,b0329,putative periplasmic protein,STM1897
DUF1471 domain-containing protein YbiJ,b0802,putative periplasmic protein,STM1897
DUF1471 domain-containing protein YdgH,b1604,putative periplasmic protein,STM1897
DUF1471 domain-containing protein YjfY,b4199,putative outer membrane protein,PSLT015
DUF1471 domain-containing putative lipoprotein BsmA,b4189,biofilm stress/motility protein A,STM4379
DUF1471 domain-containing stress-induced protein YhcN,b3238,putative outer membrane protein,PSLT015
DUF1479 domain-containing protein YbiU,b0821,putative cytoplasmic protein,STM0383
DUF1480 domain-containing protein YebV,b1836,,
DUF1481 domain-containing protein YjaH,b4001,74% identity over 170 of 231 amino acids with E. coli hypothetical 26.3 kD protein in hupa-hydh intergenic region (Yjah) (SW:P32681),STM4171
DUF1482 domain-containing protein YebW,b1837,putative inner membrane lipoprotein,STM4039
DUF1488 domain-containing protein YrdB,b3280,putative periplasmic protein,STM1897
DUF1496 domain-containing protein YnjH,b1760,,
DUF1656 domain-containing protein AaeX,b3242,transporter,STM1737
DUF1656 domain-containing protein YdhI,b1643,putative inner membrane protein,STM1849
DUF167 domain-containing protein YggU,b2953,YggU family protein,STM3102
DUF1722 domain-containing protein YbgA,b0707,,
DUF177 domain-containing protein YceD,b1088,Large ribosomal RNA subunit accumulation protein,STM1190
DUF179 domain-containing protein YqgE,b2948,DUF179 domain-containing protein,STM3096
DUF1869 domain-containing protein YoaG,b1796,DUF1869 domain-containing protein,STM1272
DUF1870 domain-containing protein YdiL,b1689,putative cytoplasmic protein,STM0383
DUF188 domain-containing protein YaiI,b0387,hypothetical protein,STM0387
DUF1889 domain-containing protein YoaC,b1810,,
DUF1971 domain-containing protein YeaR,b1797,putative cytoplasmic protein,STM0383
DUF1992 domain-containing protein YhdN,b3293,putative cytoplasmic protein,STM0383
DUF2002 domain-containing protein YgaC,b2671,putative cytoplasmic protein,STM0383
DUF202 domain-containing inner membrane protein YidH,b3676,putative inner membrane protein,STM1849
DUF2058 domain-containing protein YaiL,b0354,,
DUF2065 domain-containing protein YjeT,b4176,DUF2065 domain-containing protein,STM4365
DUF2170 domain-containing protein YjfI,b4181,putative cytoplasmic protein,STM0383
DUF218 domain-containing protein SanA,b2144,vancomycin high temperature exclusion protein,STM2184
DUF218 domain-containing protein YdcF,b1414,putative inner membrane protein,STM1849
DUF218 domain-containing protein YgjQ,b3086,putative integral membrane protein,STM2339
DUF2279 domain-containing protein YfiM,b2586,putative outer membrane lipoprotein,STM4223
DUF2387 domain-containing protein YheV,b4551,putative cytoplasmic protein,STM0383
DUF2491 domain-containing protein YjfK,b4183,putative cytoplasmic protein,STM0383
DUF2492 domain-containing protein YecH,b1906,putative cytoplasmic protein,STM0383
DUF2496 domain-containing protein YbaM,b0466,DUF2496 domain-containing protein,STM0480
DUF2500 domain-containing protein YhhM,b3467,putative inner membrane protein,STM1849
DUF2501 domain-containing protein YjjA,b4360,putative outer membrane protein,PSLT015
DUF2502 domain-containing protein YpeC,b2390,putative periplasmic protein,STM1897
DUF2509 domain-containing protein YgdB,b2824,putative periplasmic protein,STM1897
DUF2511 domain-containing protein YebY,b1839,,
